Date,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
5/3/14,0,0,0,12,53,60,72,75,81,68,55,39,29,19,0,0
5/4/14,0,0,0,0,45,60,87,94,100,91,83,75,40,37,25,16
5/5/14,3,5,55,74,79,106,109,108,123,101,97,64,71,71,65,39
5/6/14,9,16,43,76,74,71,81,80,83,61,50,43,39,33,40,25
5/7/14,3,21,26,58,60,62,61,60,61,51,40,33,30,36,28,22
5/8/14,3,10,30,34,22,25,49,31,27,18,23,23,19,16,12,8
5/9/14,2,8,11,16,17,14,8,8,5,8,6,0,0,0,0,0
5/10/14,0,0,0,5,6,6,7,2,3,4,3,0,0,0,0,0
5/11/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/12/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/13/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/14/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/15/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/16/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/17/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/18/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/19/14,0,2,2,7,5,9,7,11,11,11,2,2,3,1,0,0
5/20/14,2,2,4,7,6,8,9,13,11,11,10,8,5,2,0,0
5/21/14,3,5,11,15,15,19,16,22,20,20,14,7,7,4,0,0
5/22/14,4,5,10,13,12,7,12,6,9,12,6,3,1,1,0,0
5/23/14,1,3,3,4,6,4,1,7,6,0,0,0,0,0,0,0
5/24/14,0,0,0,1,7,10,3,4,8,0,0,0,0,0,0,0
5/25/14,0,0,0,0,1,3,3,5,8,11,9,7,7,3,0,0
5/26/14,1,2,6,7,5,7,8,13,11,6,5,4,2,1,0,0
5/27/14,0,3,6,14,16,10,16,7,8,8,5,4,4,4,0,0
5/28/14,2,4,15,16,17,16,12,14,14,16,8,3,4,5,0,0
5/29/14,3,5,7,15,11,14,23,25,18,13,5,4,3,0,0,0
5/30/14,2,2,5,12,9,11,7,7,10,0,0,0,0,0,0,0
5/31/14,0,0,0,2,1,3,6,7,8,0,0,0,0,0,0,0
6/1/14,0,0,0,0,2,8,8,12,14,16,11,6,5,4,0,0
6/2/14,0,2,10,15,15,13,13,10,10,5,4,2,3,2,0,0
6/3/14,3,4,4,6,7,16,10,12,15,13,6,5,4,3,0,0
6/4/14,0,2,7,7,10,13,12,18,17,12,1,1,2,2,0,0
6/5/14,2,3,4,7,8,16,12,13,10,10,5,5,0,0,0,0
6/6/14,0,2,6,7,4,4,8,7,5,0,0,0,0,0,0,0
6/7/14,0,0,0,2,2,2,6,8,6,0,0,0,0,0,0,0
6/8/14,0,0,0,0,1,3,3,7,8,5,5,5,5,4,0,0
6/9/14,3,6,16,16,24,11,13,16,18,16,10,6,5,2,0,0
6/10/14,3,4,3,8,12,13,16,17,12,17,8,7,7,7,0,0
6/11/14,3,3,8,11,8,14,20,12,12,10,8,4,7,5,0,0
6/12/14,2,3,10,13,17,8,9,12,7,6,3,1,3,5,0,0
6/13/14,0,0,8,4,3,5,9,9,7,0,0,0,0,0,0,0
6/14/14,0,0,0,1,2,5,7,4,5,0,0,0,0,0,0,0
6/15/14,0,0,0,0,1,3,4,4,7,9,8,8,7,5,0,0
6/16/14,0,3,12,11,11,10,14,13,19,51,11,9,7,5,0,0
6/17/14,2,2,3,5,9,17,13,15,17,16,7,6,6,4,0,0
6/18/14,1,3,8,9,12,15,18,14,13,12,11,8,6,10,0,0
6/19/14,3,5,10,14,11,14,11,8,8,7,3,3,1,1,0,0
6/20/14,4,3,1,4,5,1,2,1,8,0,0,0,0,0,0,0
6/21/14,0,0,0,2,3,5,7,4,4,0,0,0,0,0,0,0
6/22/14,0,0,0,0,1,3,0,7,6,6,3,3,3,2,0,0
6/23/14,0,2,6,15,14,16,11,17,15,12,6,2,4,5,0,0
6/24/14,3,2,6,9,9,9,13,11,10,9,6,7,4,5,0,0
6/25/14,2,4,7,1,3,6,10,8,9,12,10,9,7,5,0,0
6/26/14,0,2,6,9,13,14,15,18,19,21,8,2,4,6,0,0
6/27/14,4,3,2,5,4,4,7,8,6,0,0,0,0,0,0,0
6/28/14,0,0,0,1,0,2,2,3,4,0,0,0,0,0,0,0
6/29/14,0,0,0,0,0,3,7,4,8,6,2,3,5,1,0,0
6/30/14,0,1,3,9,8,8,7,9,10,6,3,5,2,0,0,0
7/1/14,0,3,5,6,6,9,15,13,13,10,7,8,4,1,0,0
7/2/14,2,1,5,7,10,10,11,16,14,13,6,4,4,3,0,0
7/3/14,1,4,5,6,8,5,11,10,11,9,2,3,2,1,0,0
7/4/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/5/14,0,0,0,2,3,2,4,6,4,0,0,0,0,0,0,0
7/6/14,0,0,0,0,3,2,5,8,8,11,7,4,4,4,0,0
7/7/14,1,4,5,8,8,12,16,22,24,22,10,12,5,1,0,0
7/8/14,3,3,2,8,13,12,13,19,12,12,11,8,4,2,0,0
7/9/14,2,1,1,12,13,9,13,15,8,9,8,0,0,0,0,0
7/10/14,2,3,4,15,11,14,13,12,10,14,7,5,3,0,0,0
7/11/14,1,2,4,5,7,10,17,15,4,0,0,0,0,0,0,0
7/12/14,0,0,0,0,5,3,5,5,2,0,0,0,0,0,0,0
7/13/14,0,0,0,0,1,4,5,7,6,4,7,4,4,0,0,0
7/14/14,1,2,2,3,9,12,15,13,12,8,4,2,1,0,0,0
7/15/14,2,3,4,4,11,5,14,1,12,7,3,3,3,1,0,0
7/16/14,2,3,4,7,12,10,9,10,7,5,5,5,4,5,0,0
7/17/14,0,3,7,10,10,12,11,12,13,9,4,3,2,2,0,0
7/18/14,0,0,3,4,6,7,11,12,5,0,0,0,0,0,0,0
7/19/14,0,0,0,3,4,4,7,5,4,0,0,0,0,0,0,0
7/20/14,0,0,0,0,0,3,7,9,16,15,13,11,9,7,0,0
7/21/14,2,4,9,16,12,13,11,14,9,12,6,0,0,0,0,0
7/22/14,3,4,5,11,9,9,17,16,16,8,4,6,3,0,0,0
7/23/14,2,2,5,7,6,9,8,9,10,17,12,7,5,4,0,0
7/24/14,3,4,11,13,16,15,8,7,14,10,7,6,3,0,0,0
7/25/14,1,0,1,4,5,5,6,5,5,0,0,0,0,0,0,0
7/26/14,0,0,0,1,3,4,6,5,8,0,0,0,0,0,0,0
7/27/14,0,0,0,0,3,4,7,7,6,5,5,4,3,0,0,0
7/28/14,2,3,11,7,11,16,16,15,14,12,10,8,7,4,0,0
7/29/14,3,4,5,7,14,10,12,10,21,12,9,9,8,3,0,0
7/30/14,4,5,6,8,10,8,7,9,9,4,5,4,4,3,0,0
7/31/14,2,4,7,11,10,10,9,9,13,12,5,7,6,2,0,0
8/1/14,2,3,6,7,3,4,4,4,4,0,0,0,0,0,0,0
8/2/14,0,0,0,0,1,4,5,2,3,0,0,0,0,0,0,0
8/3/14,0,0,0,0,6,9,7,9,10,7,6,9,4,4,0,0
8/4/14,4,7,8,8,15,13,12,14,16,21,20,11,7,5,0,0
8/5/14,3,3,1,10,15,14,11,14,16,16,6,7,8,0,0,0
8/6/14,2,4,6,11,15,13,19,11,17,23,12,10,8,0,0,0
8/7/14,3,4,7,17,16,15,13,15,18,11,2,3,2,3,0,0
8/8/14,2,0,1,5,5,10,11,6,2,0,0,0,0,0,0,0
8/9/14,0,0,0,1,2,2,4,4,3,0,0,0,0,0,0,0
8/10/14,0,0,0,0,4,4,5,7,5,2,0,0,1,1,0,0
8/11/14,1,4,5,5,4,3,4,4,3,4,4,2,2,0,0,0
8/12/14,3,1,2,6,3,5,7,5,4,4,5,4,4,2,0,0
8/13/14,2,0,1,3,3,2,2,1,0,0,1,1,2,2,0,0
8/14/14,1,2,3,3,1,2,3,3,4,6,3,5,1,0,0,0
8/15/14,2,3,3,3,2,3,2,5,2,0,0,0,0,0,0,0
8/16/14,0,0,0,4,2,3,1,1,1,0,0,0,0,0,0,0
8/17/14,0,0,0,0,4,4,6,4,5,7,4,2,3,1,0,0
8/18/14,2,3,3,3,5,7,1,3,5,5,4,4,1,0,0,0
8/19/14,2,2,2,3,2,5,5,6,2,4,4,1,1,1,0,0
8/20/14,1,2,4,5,3,4,5,5,2,4,3,1,0,1,0,0
8/21/14,2,1,3,4,3,2,3,5,6,7,3,1,1,0,0,0
8/22/14,0,2,3,2,1,1,8,5,2,0,0,0,0,0,0,0
8/23/14,0,0,0,3,2,1,5,2,2,0,0,0,0,0,0,0
8/24/14,0,0,0,0,1,3,3,3,3,5,3,1,0,1,0,0
8/25/14,3,1,2,3,2,2,4,4,5,5,6,2,1,1,0,0
8/26/14,2,2,3,3,2,3,2,7,13,2,6,1,0,0,0,0
8/27/14,1,11,18,5,6,7,0,6,0,4,9,0,0,0,0,0
8/28/14,3,5,6,11,15,13,14,12,8,4,2,2,2,0,0,0
8/29/14,5,12,4,6,4,5,9,8,7,0,0,0,0,0,0,0
8/30/14,0,0,0,0,1,2,5,6,2,0,0,0,0,0,0,0
8/31/14,0,0,0,0,2,3,3,3,3,4,1,2,3,2,0,0
9/1/14,1,2,6,6,7,9,12,8,9,8,6,5,3,3,0,0
9/2/14,6,8,18,26,19,31,29,28,26,25,11,13,12,6,1,1
9/3/14,4,14,15,43,27,19,27,29,36,30,25,19,14,6,5,0
9/4/14,5,19,22,22,24,47,48,49,33,17,14,13,10,8,7,5
9/5/14,7,13,28,33,24,26,20,17,16,10,7,0,0,0,0,0
9/6/14,0,0,0,0,2,9,13,15,15,13,16,6,0,0,0,0
9/7/14,0,0,0,0,15,19,23,33,31,39,30,22,20,0,0,0
9/8/14,6,14,22,37,34,41,35,38,42,34,27,21,17,16,11,9
9/9/14,3,15,23,35,36,38,40,42,35,27,19,13,14,15,16,12
9/10/14,10,17,18,41,42,43,34,52,36,24,27,25,21,22,13,5
9/11/14,3,7,25,32,27,37,42,47,29,24,17,16,8,12,7,4
9/12/14,3,8,17,20,19,19,29,25,20,17,9,9,0,0,0,0
9/13/14,0,0,0,0,16,22,27,31,23,24,18,15,0,0,0,0
9/14/14,0,0,0,0,15,24,45,46,40,41,34,26,19,0,0,0
9/15/14,5,21,32,31,29,29,36,44,40,31,22,16,19,24,23,13
9/16/14,5,14,28,29,34,47,49,47,46,43,33,27,30,16,13,11
9/17/14,4,12,25,36,45,46,34,45,29,24,27,32,40,31,28,10
9/18/14,10,18,24,31,39,48,46,36,32,35,23,17,22,16,11,5
9/19/14,8,15,27,32,23,28,34,39,27,25,9,5,0,0,0,0
9/20/14,0,0,0,0,18,23,30,35,37,34,23,14,0,0,0,0
9/21/14,0,0,0,0,10,17,37,45,46,40,25,27,29,12,8,4
9/22/14,5,14,22,33,41,39,43,61,39,45,27,29,27,28,31,20
9/23/14,7,12,25,34,43,63,55,55,43,41,41,42,47,38,30,22
9/24/14,4,8,35,43,51,56,50,58,66,55,31,31,39,35,38,26
9/25/14,3,20,29,63,52,52,50,55,54,34,20,23,19,11,8,5
9/26/14,0,5,23,34,30,36,28,27,26,28,20,15,0,0,0,0
9/27/14,0,0,0,0,13,25,38,49,46,41,30,15,0,0,0,0
9/28/14,0,0,0,0,12,33,46,58,69,62,44,41,42,38,34,16
9/29/14,3,11,34,55,52,57,91,95,74,66,48,47,34,32,23,0
9/30/14,5,15,26,39,52,77,79,72,45,38,32,33,40,48,37,30
10/1/14,7,14,31,44,39,61,45,43,43,47,34,35,42,43,26,16
10/2/14,3,15,23,35,30,59,49,46,40,28,22,37,30,18,15,12
10/3/14,6,9,20,25,24,26,29,23,23,21,10,7,0,0,0,0
10/4/14,0,0,0,0,2,12,16,28,38,37,31,14,0,0,0,0
10/5/14,0,0,0,0,6,23,34,36,44,52,46,32,27,16,12,7
10/6/14,3,16,30,50,40,54,62,69,59,41,35,32,38,41,29,11
10/7/14,1,16,21,49,40,45,53,63,57,51,45,39,35,40,26,0
10/8/14,4,18,37,50,43,52,58,57,54,51,39,32,30,27,24,21
10/9/14,6,11,26,36,40,61,56,52,47,40,32,25,28,26,22,15
10/10/14,6,15,22,23,25,30,35,29,22,16,15,15,0,0,0,0
10/11/14,0,0,0,0,4,7,14,18,19,16,12,5,0,0,0,0
10/12/14,0,0,0,0,5,15,20,18,21,21,20,15,17,16,17,13
10/13/14,4,11,19,26,15,23,43,50,56,50,42,28,26,33,23,14
10/14/14,0,15,28,37,49,54,60,61,62,58,42,40,37,35,28,19
10/15/14,2,11,27,38,52,60,64,61,62,53,43,34,36,31,28,25
10/16/14,4,18,36,49,64,59,53,36,33,30,27,19,18,15,13,7
10/17/14,4,8,19,40,54,27,35,31,29,21,15,12,0,0,0,0
10/18/14,0,0,0,0,9,18,26,34,32,34,32,12,0,0,0,0
10/19/14,0,0,0,0,9,26,44,42,57,55,40,30,31,22,17,11
10/20/14,2,18,27,36,45,50,47,61,51,58,37,39,40,51,40,15
10/21/14,8,7,15,28,40,53,62,58,64,51,42,47,39,30,28,0
10/22/14,6,9,21,42,40,40,43,45,54,34,37,44,46,36,24,13
10/23/14,3,7,21,32,33,36,52,53,49,25,23,17,12,11,12,13
10/24/14,2,12,25,36,24,41,38,39,39,18,13,7,0,0,0,0
10/25/14,0,0,0,0,5,15,28,36,27,21,8,1,0,0,0,0
10/26/14,0,0,0,0,11,30,38,52,49,41,38,32,39,39,18,12
10/27/14,2,12,33,45,49,53,57,56,56,42,40,39,37,40,38,21
10/28/14,2,14,12,43,44,51,47,72,62,44,24,28,39,37,29,18
10/29/14,7,15,17,28,52,64,56,51,47,48,38,36,38,42,43,20
10/30/14,3,10,19,42,41,40,39,52,46,34,32,25,19,17,17,12
10/31/14,4,13,19,41,35,37,47,33,17,21,8,4,0,0,0,0
11/1/14,0,0,0,0,5,13,21,28,33,24,14,5,0,0,0,0
11/2/14,0,0,0,0,5,25,30,43,43,37,32,27,23,21,15,11
11/3/14,6,12,35,47,60,71,58,78,77,71,61,54,33,31,29,17
11/4/14,8,15,18,37,46,52,48,61,49,44,34,40,36,24,22,17
11/5/14,3,16,22,30,58,69,69,71,69,62,48,46,36,39,26,12
11/6/14,2,17,26,50,68,59,43,53,40,39,24,23,20,18,14,10
11/7/14,4,12,25,32,39,47,34,33,25,16,11,7,0,0,0,0
11/8/14,0,0,0,0,3,9,20,27,21,22,22,6,0,0,0,0
11/9/14,0,0,0,0,14,31,40,45,46,45,36,39,32,32,25,19
11/10/14,4,15,25,53,55,58,46,86,68,34,30,39,33,34,30,15
11/11/14,3,12,23,27,32,38,57,65,54,39,41,51,44,36,37,16
11/12/14,2,8,28,42,49,57,47,57,67,57,49,39,37,29,21,16
11/13/14,2,8,18,31,45,47,43,37,40,45,39,32,17,7,5,5
11/14/14,4,4,18,33,27,41,44,42,24,14,13,6,0,0,0,0
11/15/14,0,0,0,0,5,15,27,31,31,24,29,8,0,0,0,0
11/16/14,0,0,0,0,7,22,43,52,61,54,42,38,30,17,17,12
11/17/14,1,6,29,40,52,55,58,62,45,42,39,33,28,31,24,27
11/18/14,3,8,26,44,41,61,54,58,46,59,41,39,22,31,16,12
11/19/14,3,10,18,63,52,66,59,60,64,54,36,24,24,28,24,21
11/20/14,3,9,30,52,52,53,35,32,43,39,24,20,16,13,7,0
11/21/14,3,8,21,35,43,33,24,21,11,12,6,2,0,0,0,0
11/22/14,0,0,0,0,3,13,18,22,17,7,13,4,0,0,0,0
11/23/14,0,0,0,0,7,22,43,44,59,50,31,35,35,28,22,15
11/24/14,3,9,25,34,41,37,49,61,54,48,32,17,18,17,11,4
11/25/14,2,7,17,20,25,30,28,27,16,12,3,4,3,3,4,3
11/26/14,2,2,5,6,6,5,4,4,5,7,5,5,3,0,0,0
11/27/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/28/14,0,0,2,3,5,6,5,7,5,0,0,0,0,0,0,0
11/29/14,0,0,0,0,2,3,6,8,11,13,8,1,0,0,0,0
11/30/14,0,0,0,0,1,1,10,16,35,34,31,17,15,9,8,4
12/1/14,3,10,23,35,48,50,47,61,61,55,45,42,41,35,26,17
12/2/14,22,18,47,66,65,77,80,83,85,76,67,49,55,40,29,19
12/3/14,7,29,47,68,78,70,70,87,84,80,82,71,78,47,44,25
12/4/14,23,30,51,61,57,63,65,68,65,60,54,51,35,23,17,18
12/5/14,5,9,22,35,43,36,50,53,41,19,14,10,0,0,0,0
12/6/14,0,0,0,0,10,21,20,40,44,39,31,20,0,0,0,0
12/7/14,0,0,0,0,5,18,37,60,65,54,60,42,32,29,17,13
12/8/14,3,10,17,39,56,74,74,81,82,64,37,43,39,42,38,23
12/9/14,5,8,19,29,40,61,51,42,39,29,24,20,18,19,17,14
12/10/14,8,15,19,49,52,56,64,74,46,51,42,44,40,36,32,15
12/11/14,6,7,23,34,53,66,79,80,80,78,53,51,45,36,33,29
12/12/14,5,18,32,46,52,65,76,92,105,90,74,58,54,41,0,0
12/13/14,0,0,0,0,18,51,78,85,106,92,78,57,54,36,0,0
12/14/14,0,0,0,0,12,53,66,94,100,87,72,65,70,57,55,30
12/15/14,11,16,51,78,68,85,107,89,80,63,45,43,47,39,40,29
12/16/14,1,17,24,51,85,87,84,71,76,53,43,54,48,44,49,23
12/17/14,3,8,21,55,42,45,52,41,33,37,42,40,26,23,16,10
12/18/14,0,7,14,13,11,13,3,9,9,9,9,5,6,2,0,0
12/19/14,1,3,4,9,4,3,5,3,4,5,2,0,0,0,0,0
12/20/14,0,0,0,0,1,1,1,2,0,0,2,2,0,0,0,0
12/21/14,0,0,0,0,1,0,1,3,1,1,0,0,0,0,0,0
12/22/14,0,1,4,5,3,3,2,4,8,3,2,0,1,1,2,0
12/23/14,1,1,3,2,1,2,5,8,1,1,1,1,2,0,0,0
12/24/14,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
12/25/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/26/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/27/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/28/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/29/14,0,3,6,8,10,14,12,17,18,0,0,0,0,0,0,0
12/30/14,0,1,4,5,8,8,11,10,6,0,0,0,0,0,0,0
12/31/14,0,2,6,9,12,6,6,8,5,0,0,0,0,0,0,0
1/1/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/15,1,0,1,2,2,2,1,3,4,4,2,1,1,2,0,0
1/6/15,1,2,2,3,3,2,2,3,5,3,4,1,0,1,0,0
1/7/15,2,1,0,1,4,2,3,1,2,3,2,1,1,1,0,0
1/8/15,0,0,1,0,2,4,4,4,3,4,3,1,1,0,0,0
1/9/15,1,1,0,0,1,4,3,3,2,1,1,0,0,0,0,0
1/10/15,0,0,0,0,0,0,2,3,5,5,4,1,0,0,0,0
1/11/15,0,0,0,0,0,1,3,3,3,1,1,2,3,3,3,2
1/12/15,0,1,1,2,5,3,5,8,6,7,3,5,5,3,2,0
1/13/15,1,1,2,2,3,3,5,6,7,5,5,3,3,3,1,0
1/14/15,1,4,3,1,4,3,4,4,4,2,0,0,0,0,0,0
1/15/15,0,1,2,2,2,2,2,3,4,4,3,5,3,3,0,0
1/16/15,3,4,4,6,4,4,2,5,6,6,6,5,0,0,0,0
1/17/15,0,0,0,0,2,1,1,4,2,1,2,0,0,0,0,0
1/18/15,0,0,0,0,2,0,1,1,2,3,3,3,4,2,1,1
1/19/15,0,1,1,2,4,4,5,9,6,7,6,5,4,2,3,2
1/20/15,1,8,11,18,24,30,26,39,29,31,26,22,19,14,9,5
1/21/15,3,7,13,18,23,25,20,16,30,24,27,30,22,10,5,0
1/22/15,3,5,17,21,25,29,29,34,40,28,17,15,9,12,0,0
1/23/15,2,7,16,28,23,14,26,23,31,28,14,5,0,0,0,0
1/24/15,0,0,0,0,3,3,12,18,15,8,7,5,0,0,0,0
1/25/15,0,0,0,0,17,23,26,33,28,23,18,13,8,5,5,6
1/26/15,2,1,26,22,24,21,21,16,11,0,0,0,0,0,0,0
1/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/15,2,5,13,23,27,36,42,39,36,34,20,15,17,9,11,4
1/30/15,3,8,15,26,33,33,26,25,20,14,13,6,0,0,0,0
1/31/15,0,0,0,0,1,7,20,21,20,21,17,7,0,0,0,0
2/1/15,0,0,0,0,7,13,29,36,45,39,27,29,21,7,4,0
2/2/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/15,3,6,15,21,27,35,44,47,51,35,32,18,16,14,12,0
2/4/15,5,10,18,25,30,34,29,41,43,34,24,14,24,22,18,9
2/5/15,6,9,17,26,27,29,31,37,40,31,23,15,14,12,9,4
2/6/15,7,10,11,19,21,16,18,19,17,16,10,7,0,0,0,0
2/7/15,0,0,0,0,0,6,16,18,21,20,18,6,0,0,0,0
2/8/15,0,0,0,0,8,15,23,27,28,32,23,9,6,5,4,4
2/9/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/10/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/15,5,13,16,24,37,63,60,58,55,44,25,18,19,18,24,12
2/12/15,8,16,28,35,18,13,37,38,53,34,26,14,12,19,21,0
2/13/15,5,12,13,31,31,22,21,28,23,15,10,6,0,0,0,0
2/14/15,0,0,0,0,1,9,10,0,0,0,0,0,0,0,0,0
2/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/15,5,15,23,38,47,48,47,29,53,50,34,28,22,28,27,17
2/18/15,5,10,22,41,53,55,56,60,64,48,46,34,24,30,31,12
2/19/15,3,11,21,37,33,41,38,35,41,33,23,32,28,24,20,17
2/20/15,1,4,18,31,40,21,33,38,35,25,15,5,0,0,0,0
2/21/15,0,0,0,0,5,11,14,15,12,13,9,8,0,0,0,0
2/22/15,0,0,0,0,8,15,26,35,41,39,26,19,26,20,16,7
2/23/15,2,13,23,34,33,33,44,45,57,42,22,22,22,18,32,18
2/24/15,3,9,17,27,36,22,28,35,36,36,29,27,25,34,29,10
2/25/15,7,14,24,39,34,27,35,54,63,65,42,29,26,34,23,19
2/26/15,2,13,29,42,47,34,36,35,33,32,33,19,23,27,23,19
2/27/15,6,12,17,21,30,28,22,25,28,23,13,9,0,0,0,0
2/28/15,0,0,0,0,0,17,22,28,29,26,15,7,0,0,0,0
3/1/15,0,0,0,0,4,9,14,25,29,38,31,30,34,17,11,6
3/2/15,6,13,18,26,48,45,57,53,56,45,35,35,35,29,34,14
3/3/15,7,12,27,31,46,45,49,50,52,52,46,41,39,33,31,0
3/4/15,5,11,28,51,58,64,69,71,70,66,46,47,39,40,39,25
3/5/15,3,12,21,24,27,35,42,49,48,47,17,11,0,23,24,0
3/6/15,5,12,18,26,19,16,11,15,12,14,9,5,0,0,0,0
3/7/15,0,0,0,0,0,1,5,5,5,5,4,3,0,0,0,0
3/8/15,0,0,0,0,1,0,2,2,3,3,3,2,2,2,1,2
3/9/15,0,1,2,4,6,8,10,7,7,11,8,6,3,0,0,0
